budget_type,policy,dataset,fault,budget,cases,top1,top3,top5,avg5
span_fraction,random,RE2-OB,cpu,0.25,15,0.06666666666666667,0.8,1.0,0.6933333333333334
span_fraction,random,RE2-OB,cpu,0.5,15,0.06666666666666667,0.8,1.0,0.6933333333333334
span_fraction,random,RE2-OB,cpu,1.0,15,0.06666666666666667,0.8,1.0,0.6933333333333334
span_fraction,random,RE2-OB,delay,0.1,15,0.2,0.4,0.8666666666666667,0.5333333333333333
span_fraction,random,RE2-OB,delay,0.25,15,0.2,0.4666666666666667,0.8666666666666667,0.56
span_fraction,random,RE2-OB,delay,0.5,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334
span_fraction,random,RE2-OB,delay,1.0,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334
span_fraction,random,RE2-OB,disk,0.1,15,0.2,0.8,1.0,0.7066666666666667
span_fraction,random,RE2-OB,disk,0.25,15,0.2,0.8,1.0,0.7066666666666667
span_fraction,random,RE2-OB,disk,0.5,15,0.2,0.8,1.0,0.7066666666666667
span_fraction,random,RE2-OB,disk,1.0,15,0.2,0.8,1.0,0.7066666666666667
span_fraction,random,RE2-OB,loss,0.1,15,0.13333333333333333,0.4666666666666667,0.8666666666666667,0.52
span_fraction,random,RE2-OB,loss,0.25,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335
span_fraction,random,RE2-OB,loss,0.5,15,0.06666666666666667,0.4,0.8666666666666667,0.48000000000000004
span_fraction,random,RE2-OB,loss,1.0,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335
span_fraction,random,RE2-OB,mem,0.1,15,0.13333333333333333,0.5333333333333333,0.9333333333333333,0.5866666666666667
span_fraction,random,RE2-OB,mem,0.25,15,0.06666666666666667,0.5333333333333333,1.0,0.6
span_fraction,random,RE2-OB,mem,0.5,15,0.06666666666666667,0.5333333333333333,1.0,0.6
span_fraction,random,RE2-OB,mem,1.0,15,0.0,0.5333333333333333,1.0,0.5866666666666667
span_fraction,random,RE2-OB,socket,0.1,15,0.2,0.7333333333333333,0.9333333333333333,0.64
span_fraction,random,RE2-OB,socket,0.25,15,0.13333333333333333,0.7333333333333333,1.0,0.68
span_fraction,random,RE2-OB,socket,0.5,15,0.13333333333333333,0.8,1.0,0.6933333333333334
span_fraction,random,RE2-OB,socket,1.0,15,0.13333333333333333,0.8,1.0,0.6933333333333334
span_fraction,random,RE2-TT,cpu,0.1,15,0.8,1.0,1.0,0.9600000000000001
span_fraction,random,RE2-TT,cpu,0.25,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,cpu,0.5,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,cpu,1.0,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,delay,0.1,15,1.0,1.0,1.0,1.0
span_fraction,random,RE2-TT,delay,0.25,15,1.0,1.0,1.0,1.0
span_fraction,random,RE2-TT,delay,0.5,15,1.0,1.0,1.0,1.0
span_fraction,random,RE2-TT,delay,1.0,15,1.0,1.0,1.0,1.0
span_fraction,random,RE2-TT,disk,0.1,15,0.8,1.0,1.0,0.9600000000000001
span_fraction,random,RE2-TT,disk,0.25,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,disk,0.5,15,0.8,0.9333333333333333,1.0,0.92
span_fraction,random,RE2-TT,disk,1.0,15,0.8,0.9333333333333333,1.0,0.92
span_fraction,random,RE2-TT,loss,0.1,15,1.0,1.0,1.0,1.0
span_fraction,random,RE2-TT,loss,0.25,15,0.9333333333333333,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,loss,0.5,15,0.8,1.0,1.0,0.9600000000000001
span_fraction,random,RE2-TT,loss,1.0,15,0.8,1.0,1.0,0.9333333333333333
span_fraction,random,RE2-TT,mem,0.1,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,mem,0.25,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,random,RE2-TT,mem,0.5,15,0.8,1.0,1.0,0.9600000000000001
span_fraction,random,RE2-TT,mem,1.0,15,0.8,1.0,1.0,0.9600000000000001
span_fraction,random,RE2-TT,socket,0.1,15,0.7333333333333333,1.0,1.0,0.9466666666666667
span_fraction,random,RE2-TT,socket,0.25,15,0.7333333333333333,1.0,1.0,0.9466666666666667
span_fraction,random,RE2-TT,socket,0.5,15,0.7333333333333333,1.0,1.0,0.9466666666666667
span_fraction,random,RE2-TT,socket,1.0,15,0.7333333333333333,1.0,1.0,0.9466666666666667
span_fraction,service_aware_abnormality,RE2-OB,cpu,0.1,15,0.0,0.8,1.0,0.68
span_fraction,service_aware_abnormality,RE2-OB,cpu,0.25,15,0.06666666666666667,0.7333333333333333,1.0,0.68
span_fraction,service_aware_abnormality,RE2-OB,cpu,0.5,15,0.06666666666666667,0.8,1.0,0.7066666666666667
span_fraction,service_aware_abnormality,RE2-OB,cpu,1.0,15,0.06666666666666667,0.8,1.0,0.6933333333333334
span_fraction,service_aware_abnormality,RE2-OB,delay,0.1,15,0.2,0.6,0.8,0.6
span_fraction,service_aware_abnormality,RE2-OB,delay,0.25,15,0.2,0.5333333333333333,0.8,0.5466666666666666
span_fraction,service_aware_abnormality,RE2-OB,delay,0.5,15,0.2,0.4,0.9333333333333333,0.5333333333333333
span_fraction,service_aware_abnormality,RE2-OB,delay,1.0,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334
span_fraction,service_aware_abnormality,RE2-OB,disk,0.1,15,0.0,0.6666666666666666,1.0,0.6533333333333334
span_fraction,service_aware_abnormality,RE2-OB,disk,0.25,15,0.06666666666666667,0.8,1.0,0.68
span_fraction,service_aware_abnormality,RE2-OB,disk,0.5,15,0.2,0.8,1.0,0.7066666666666667
span_fraction,service_aware_abnormality,RE2-OB,disk,1.0,15,0.2,0.8,1.0,0.7066666666666667
span_fraction,service_aware_abnormality,RE2-OB,loss,0.1,15,0.0,0.4,0.8,0.4666666666666667
span_fraction,service_aware_abnormality,RE2-OB,loss,0.25,15,0.2,0.4,0.8,0.49333333333333335
span_fraction,service_aware_abnormality,RE2-OB,loss,0.5,15,0.2,0.4666666666666667,0.8666666666666667,0.52
span_fraction,service_aware_abnormality,RE2-OB,loss,1.0,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335
span_fraction,service_aware_abnormality,RE2-OB,mem,0.1,15,0.0,0.6,1.0,0.6133333333333334
span_fraction,service_aware_abnormality,RE2-OB,mem,0.25,15,0.0,0.6,1.0,0.6133333333333334
span_fraction,service_aware_abnormality,RE2-OB,mem,0.5,15,0.0,0.5333333333333333,1.0,0.5733333333333334
span_fraction,service_aware_abnormality,RE2-OB,mem,1.0,15,0.0,0.5333333333333333,1.0,0.5866666666666667
span_fraction,service_aware_abnormality,RE2-OB,socket,0.1,15,0.0,0.6,1.0,0.6
span_fraction,service_aware_abnormality,RE2-OB,socket,0.25,15,0.0,0.6,0.9333333333333333,0.5733333333333335
span_fraction,service_aware_abnormality,RE2-OB,socket,0.5,15,0.06666666666666667,0.7333333333333333,0.9333333333333333,0.64
span_fraction,service_aware_abnormality,RE2-OB,socket,1.0,15,0.13333333333333333,0.8,1.0,0.6933333333333334
span_fraction,service_aware_abnormality,RE2-TT,cpu,0.1,15,0.6666666666666666,0.8,0.8666666666666667,0.8
span_fraction,service_aware_abnormality,RE2-TT,cpu,0.25,15,0.6666666666666666,0.8,0.8,0.7733333333333333
span_fraction,service_aware_abnormality,RE2-TT,cpu,0.5,15,0.6666666666666666,0.8,0.8,0.7733333333333333
span_fraction,service_aware_abnormality,RE2-TT,cpu,1.0,15,0.8666666666666667,1.0,1.0,0.9733333333333333
span_fraction,service_aware_abnormality,RE2-TT,delay,0.1,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
span_fraction,service_aware_abnormality,RE2-TT,delay,0.25,15,0.9333333333333333,0.9333333333333333,1.0,0.9600000000000001
span_fraction,service_aware_abnormality,RE2-TT,delay,0.5,15,1.0,1.0,1.0,1.0
span_fraction,service_aware_abnormality,RE2-TT,delay,1.0,15,1.0,1.0,1.0,1.0
